time_stamp,Location,name,latitude,longitude,altitude,model,firmware_version,last_seen,humidity,channel a,pm2.5,pm2.5_10minute,pm2.5_60minute,pm2.5_24hour,channel b,pm2.5,pm2.5_10minute,pm2.5_60minute,pm2.5_24hour,A,B,Diff,SD,JumpA,JumpB,JumpSD,Q&A,Uncorrected Average,Corrected Value
07-28-2022 08:42:59,Raymond,MChase_ParkPl,43.00408,-71.17704,194,PA-II-SD,7.00,07-28-2022 08:41:55,60,,9.0,9.6,8.0,7.2,,0.0,0.0,0.0,0.3,9.6,0.0,9.6,4.8,0.0,0.0,0.0,Passed,4.8,0.89
07-28-2022 08:43:00,Keene,KSC 04,42.93053,-72.27235,476,PA-II,7.00,07-28-2022 08:41:58,64,,12.5,9.8,8.1,7.9,,10.8,8.7,7.1,7.2,9.8,8.7,1.1,0.55,0.3,0.3,0.0,Passed,9.25,3.32
07-28-2022 08:43:01,Merrimack,KSC 15,42.899563,-71.46465,301,PA-II,7.00,07-27-2022 09:02:30,35,,3.7,3.8,4.4,9.3,,2.6,3.1,3.8,8.7,3.8,3.1,0.7,0.35,0.0,0.0,0.0,Passed,3.45,1.81
07-28-2022 08:49:00,Concord,"12 Noyes Street, Concord, NH",43.192043,-71.54158,291,PA-II-SD,7.00,07-28-2022 08:47:00,63,,8.2,8.2,5.5,4.4,,8.5,7.9,5.3,4.3,8.2,7.9,0.3,0.15,0.2,0.3,0.04999999999999999,Passed,8.05,2.66
07-28-2022 08:49:01,Bow,Junder22,43.08963,-71.50244,619,PA-II,7.00,07-28-2022 08:47:49,65,,7.0,7.5,6.5,6.0,,7.6,8.0,7.0,6.4,7.5,8.0,0.5,0.25,0.1,0.1,0.0,Passed,7.75,2.34
07-28-2022 08:49:01,Dunbarton,NHDES_katerr,43.11861,-71.61618,885,PA-II-SD,7.00,07-28-2022 08:48:03,None,,7.6,7.7,7.2,6.4,,7.4,7.8,7.3,6.2,7.7,7.8,0.1,0.05,0.1,0.2,0.05,RH,7.75,1.36
07-28-2022 08:49:03,Concord,"12 Noyes Street, Concord, NH",43.19211,-71.54146,286,PA-II-SD,7.00,07-28-2022 08:46:23,62,,10.9,10.2,7.7,6.1,,11.8,11.4,8.7,6.8,10.2,11.4,1.2,0.6,0.3,0.2,0.04999999999999999,Passed,10.8,4.41
07-28-2022 08:49:04,Laconia,NH7,43.565853,-71.49613,708,PA-II-SD,7.00,07-28-2022 08:46:22,64,,7.0,7.4,7.7,6.8,,7.2,7.5,7.8,6.6,7.4,7.5,0.1,0.05,0.0,0.1,0.05,Passed,7.45,2.22
07-28-2022 08:49:05,Concord,NHDES Max,43.289764,-71.56426,370,PA-II-SD,7.00,07-28-2022 08:46:48,62,,9.7,7.6,6.7,6.4,,7.6,7.4,6.7,6.2,7.6,7.4,0.2,0.1,0.4,0.2,0.1,Passed,7.5,2.39
07-28-2022 08:49:06,Suncook,NH2,43.132477,-71.458374,230,PA-II-SD,7.00,07-28-2022 08:47:33,56,,11.2,12.8,10.7,9.1,,12.7,12.0,9.9,8.1,12.8,12.0,0.8,0.4,0.0,0.0,0.0,Passed,12.4,5.8
